GEOID10,intersects_leveedarea
060250116002,0
060250116004,0
060250117001,0
060090002101,0
060090001221,0
060090002103,0
060090002102,0
060090002201,0
060090003004,0
060090003002,0
060090003001,0
060090003003,0
060090003005,0
060090004004,0
060090004006,0
060090004005,0
060090004002,0
060090004001,0
060090004003,0
060090005032,0
060090001201,0
060090002104,0
060090005011,0
060090005042,0
060090005033,0
060090001222,0
060090001212,0
060090001211,0
060090005041,0
060090001223,0
060090005012,0
060090002202,0
060090005031,0
060871222013,0
060871222021,0
060871222031,0
060871002002,0
060871002005,0
060871002001,0
060871002007,0
060871002003,0
060871002004,1
060871008003,1
060871209002,0
060530114002,0
060530116023,0
060372932023,0
060372941201,0
060372932022,0
060372932021,0
060372941101,0
060372932011,0
060372932013,0
060372932012,0
060372920004,0
060372920001,0
060371033001,0
060372913003,0
060372912202,0
060376031021,0
060376033013,0
060376033023,0
060376031012,0
060376023014,0
060376030041,0
060376039001,0
060371065101,0
060376037043,0
060376034001,0
060376034002,0
060376039004,0
060376026005,0
060376023015,0
060376024021,0
060376007031,0
060376024033,0
060375503006,1
060375438021,1
060375437021,0
060375437024,0
060375437025,0
060375438012,0
060375436021,0
060375435021,0
060375436022,0
060375545142,1
060375544031,1
060371066031,0
060375544042,1
060372965001,0
060372764003,0
060372764004,0
060372766011,1
060372765002,0
060372770002,0
060372912201,0
060372941203,0
060375702031,0
060372912101,0
060375734022,0
060375702032,1
060375746011,0
060376513021,0
060376700012,0
060376510021,0
060376512013,0
060376512014,0
060376022004,0
060375540011,1
060376034003,0
060375538021,1
060375541012,1
060375537021,1
060375539014,0
060375539013,0
060374006031,1
060371065201,0
060375539011,0
060375538023,1
060375538022,1
060375433221,0
060375410011,0
060375433044,1
060375434001,0
060375436031,0
060375433224,1
060375433223,1
060375433042,1
060375433225,1
060375434002,0
060375526021,0
060372764002,0
060372766013,0
060372764005,0
060372761003,0
060372051201,0
060372764001,0
060372766012,0
060372761002,0
060372766014,0
060372765001,0
060372760005,0
060372760004,0
060372760002,0
060376507011,0
060375742013,0
060375742012,0
060375742011,0
060375744006,1
060375742021,0
060375741005,0
060375741001,1
060375742022,0
060375739021,1
060375740001,1
060375741003,1
060375740005,1
060375741002,1
060375740002,1
060375535021,0
060375538012,1
060375538013,1
060375537011,1
060375548012,1
060375548011,0
060375537022,1
060375547001,0
060375547003,0
060375532005,1
060375545212,1
060375546002,0
060375420003,1
060375362003,1
060372017002,0
060375766024,0
060375362005,1
060375424013,1
060371091001,0
060371091002,0
060375036013,0
060375036011,0
060375035022,0
060375738001,1
060375738002,1
060375737005,1
060375737006,1
060375737004,1
060375737001,1
060375720013,0
060375720021,0
060375720014,0
060375719004,0
060375726001,1
060375726003,1
060375730022,1
060375722021,1
060375550022,1
060375720022,0
060375751011,0
060375545161,1
060375545141,1
060375531003,1
060375526014,0
060375530001,0
060375527004,0
060375526022,0
060375524001,0
060375529004,0
060375529003,0
060375528003,0
060375528004,0
060375527002,0
060375524003,0
060375527005,0
060375035012,0
060375016002,0
060375035024,0
060375035021,0
060375034023,0
060375321021,1
060375034021,0
060375038021,0
060375037022,0
060375034012,0
060375032022,0
060375435012,0
060375723021,1
060375722023,1
060375723012,1
060375723022,1
060375723023,1
060375737003,1
060375734024,0
060375724001,1
060375721001,1
060375720012,0
060375720011,0
060375723011,1
060375718002,0
060375719001,0
060375720023,0
060375719003,0
060375528002,0
060375526023,0
060375530002,0
060375526011,0
060375527003,0
060375526012,0
060375529001,0
060375529002,0
060375524002,0
060375513002,1
060375545152,1
060375545171,1
060375545122,1
060375545221,1
060371065202,0
060375032023,0
060375034013,0
060375032021,0
060375023011,1
060375023012,0
060375022001,1
060375021001,0
060376200023,0
060376201023,0
060376200011,0
060376206011,0
060376201022,0
060376200021,0
060376200012,0
060375752023,0
060375752011,0
060373005013,0
060372970002,0
060372973003,0
060375717011,1
060375716001,1
060375718003,0
060375715024,1
060375725001,1
060375715021,0
060375717013,1
060375715023,0
060375737002,1
060375715022,0
060375734011,0
060375714003,0
060375712007,1
060375545211,1
060375545131,0
060375545143,1
060375545172,1
060375545222,1
060375545151,1
060375545183,1
060375545182,1
060375545112,1
060375545121,1
060375545191,1
060375544032,1
060375544041,1
060375542013,1
060376201013,0
060377015022,0
060377032003,0
060377006005,0
060377031004,0
060377032002,0
060377032001,0
060377032006,0
060377031002,0
060372974002,0
060373001004,0
060376704132,0
060372970004,0
060376707022,0
060376701003,0
060375712001,1
060375712002,1
060375708005,1
060375709011,1
060375712004,1
060375706011,1
060375703042,1
060375706022,1
060375703013,1
060375706013,1
060375703041,1
060375706023,1
060375706031,0
060375705014,1
060375705011,1
060375703011,1
060375542011,1
060375540021,1
060375542012,1
060375541011,1
060375540022,1
060375540013,1
060375540012,1
060375545192,1
060375534003,0
060375531004,1
060375531002,1
060375540014,1
060371066042,0
060375549002,1
060377031005,0
060377032004,0
060377031003,0
060377032005,0
060377029014,1
060372912103,0
060372911301,0
060371253101,0
060372911303,0
060372911201,0
060372316005,0
060371253103,0
060372911101,0
060372772001,0
060371253201,0
060376707011,0
060376704071,0
060372933011,0
060376201021,0
060375041013,0
060374801023,0
060375039011,0
060375040021,0
060375040022,0
060375038013,0
060375706024,1
060375705012,1
060375705021,1
060375703043,1
060375704021,1
060375551042,1
060375704023,1
060375705022,1
060375708003,1
060375703031,1
060375706033,1
060375703032,1
060375705024,1
060375705023,1
060375706032,0
060375702041,0
060375705013,1
060375549005,1
060375551031,1
060375549004,1
060375549001,1
060375533002,1
060375548023,1
060375548022,1
060375549003,1
060375547002,0
060375431005,0
060375435014,0
060375424022,1
060375437031,0
060375425024,0
060372911102,0
060372771003,0
060372771001,0
060372770004,0
060372770003,0
060372770001,0
060372965003,0
060376023013,0
060376024024,0
060376024022,0
060371282201,0
060376024026,0
060376024043,0
060376026007,0
060375038014,0
060375039024,0
060375041011,0
060375038012,0
060375038011,0
060375038022,0
060375770001,0
060375039021,0
060375768013,0
060376513026,0
060376510013,0
060376510022,0
060375710001,1
060375702023,1
060375702021,1
060375702025,1
060375702042,0
060375552111,1
060375711022,1
060375717012,1
060375712006,1
060375700034,1
060375714001,0
060375713004,0
060375713002,0
060375713001,1
060375552022,1
060375437012,0
060375411003,0
060375436041,0
060375437022,0
060375425023,0
060375431002,0
060375424014,1
060375503003,0
060375415004,0
060375411002,0
060375433211,0
060376030012,0
060376027004,0
060376029003,0
060376026006,0
060376026004,0
060371283032,0
060376024023,0
060376020022,0
060376024032,0
060376021061,0
060376022003,0
060376021062,0
060376021063,0
060376022002,0
060376512011,0
060376510012,0
060376509023,0
060376509022,0
060376510011,0
060376512211,0
060376508001,0
060376507022,0
060376506032,0
060376509021,0
060376507012,0
060375714005,0
060375712005,1
060375714002,0
060375713003,0
060375710005,1
060375711012,1
060375711025,1
060375711023,1
060375714004,0
060375711013,1
060375710006,1
060375711015,1
060375711014,1
060375711024,1
060375711021,1
060375710004,1
060375710003,1
060375711011,1
060375707012,0
060375422001,1
060375432012,0
060375433043,0
060375434003,1
060375435013,0
060375432024,1
060375424023,1
060375431007,0
060375432021,1
060375432022,0
060375435032,0
060375424012,1
060376031023,0
060376020042,0
060376021051,0
060376020021,0
060376021032,0
060376022001,0
060376006011,0
060376030011,0
060376024025,0
060376024031,0
060376030013,0
060376024041,0
060376030014,0
060376024042,0
060376507024,0
060376507025,0
060376507023,0
060376506031,0
060376505012,0
060376505011,0
060376507021,0
060376506021,0
060376502002,0
060376501011,0
060376501014,0
060376503003,0
060376501013,0
060375712003,1
060375707022,0
060375708002,1
060375707013,0
060375709012,1
060375709015,1
060375709013,1
060375707021,0
060375707015,0
060375707011,0
060375710002,1
060375709021,1
060375707014,0
060375708001,1
060375709022,1
060375709023,1
060375706012,1
060375432023,0
060375430004,0
060375425012,0
060375422003,1
060375430005,0
060375431004,0
060375406002,0
060375429001,0
060375427001,0
060375428001,0
060375427004,0
060375426021,1
060375426012,0
060375426011,1
060375426013,0
060375424011,1
060371283022,0
060376021052,0
060374088001,0
060374066024,0
060374087031,0
060374087051,0
060374086282,0
060374047031,1
060376501012,0
